
10.	Module M10	Enterprise Data Dictionary
a.	Summary

The Enterprise Data Dictionary (EDD) for the PARI system serves as the single, immutable source of truth for all semantic, structural, and regulatory definitions governing the platform’s data assets. In a complex ecosystem where financial privacy must coexist with absolute fiscal accountability, the EDD is not merely a static documentation repository but a dynamic, governable, and active database component. It functions as the "Brain" of the PARI architecture, ensuring that every byte of data—whether it is a blinded coin transaction, a merchant tax record, or an audit log—is semantically defined, lineage-tracked, and mapped to specific regulatory frameworks (GDPR, ISO 20022, national VAT laws). By rigorously cataloging the 63 core operational tables, the EDD bridges the gap between technical database schemas and business logic, enabling disparate stakeholders, from DBAs to Tax Auditors, to interpret data consistently without ambiguity.

Operating under CMMI Level 5 principles, the EDD transforms data governance from a manual, ad-hoc process into a quantitatively managed engineering discipline. It enforces strict data standardization policies, ensuring that "Citizen ID" in one module is not misinterpreted as "Payer Identity" in another, a critical distinction for maintaining payer anonymity. The dictionary actively manages the lifecycle of data objects, enforcing the "Privacy-by-Design" mandate by tagging Personally Identifiable Information (PII) and associating it with automated retention and deletion policies (e.g., cryptographic erasure after 7 years). Furthermore, it serves as the integration backbone for the Regulatory Policy Engine (Module M02), providing the metadata necessary to dynamically generate ISO 20022 compliant messages and enforce cross-jurisdictional tax reporting rules without requiring code changes.

The EDD also underpins the platform’s robust auditability and corruption resistance. By maintaining a comprehensive change history of every schema modification, business definition update, and ownership transfer, it creates an immutable chain of custody for the data structure itself. This allows independent auditors to reconstruct the exact state of the system at any point in the past, a requirement for forensic analysis in financial disputes. Additionally, the EDD facilitates advanced AI-driven operations by providing a structured ontology that machine learning models can leverage for anomaly detection, semantic querying, and automated impact analysis. When a new regulation is introduced—such as a change in the EU VAT directive—the EDD allows system architects to instantly visualize which tables, columns, and business processes are affected, drastically reducing the risk of non-compliance. Ultimately, the Enterprise Data Dictionary ensures that PARI’s data infrastructure is as resilient, scalable, and trustworthy as the cryptographic protocols that secure its transactions.
b.	Scope
The scope of Module M10 encompasses the centralized management, definition, and governance of all metadata within the PARI ecosystem. This includes the structural definition of all 63+ production database tables, columns, data types, and constraints across the Wallet, Exchange, Merchant, and Audit subsystems. It covers the semantic mapping of these technical artifacts to business glossaries, regulatory codes (ISO 20022, SWIFT, national tax codes), and internal KPI frameworks. The module is responsible for maintaining the lineage of data elements, tracking their journey from ingestion (via M13) through transformation (Analytics) to archival (M11). It defines and enforces data ownership, stewardship, and access control policies at a granular attribute level. Additionally, the EDD scope includes the management of database change history, versioning of DDL scripts, and the synchronization of metadata between the development environments and the production Kubernetes clusters.

c.	Business Case
In the absence of a unified Enterprise Data Dictionary, large-scale financial platforms suffer from "semantic fragmentation," where different departments define critical terms like "Revenue," "Transaction Date," or "User ID" inconsistently. In PARI, where payer anonymity is paramount, such ambiguity could lead to catastrophic privacy leaks or regulatory fines. For instance, misclassifying a "blinded payer hash" as "Personal Data" could trigger unnecessary GDPR deletion requests, destroying audit trails, while failing to classify a "Merchant Legal Name" correctly could lead to tax evasion. The EDD eliminates this risk by enforcing a standardized vocabulary. It significantly accelerates the integration of new regulatory modules (M02), allowing the PARI system to expand into new jurisdictions with zero friction. From a CMMI Level 5 perspective, the EDD reduces the defect density in database deployments by ensuring that schema changes are validated against a central gold standard before execution. It automates the generation of regulatory reports, saving hundreds of man-hours annually in manual reconciliation and audit preparation. By providing clear data ownership and lineage, it simplifies root cause analysis during production incidents, reducing Mean Time To Recover (MTTR).
d.	KPIs
     Metadata Completeness: 100% (All 63 tables and columns fully defined with business descriptions).
     Lineage Traceability Score: >98% (Ability to trace data from source to destination across 4+ hops).
     Schema-to-Definition Sync Latency: < 5 minutes (Time for a code change to reflect in the Dictionary).
     Automated Compliance Rule Coverage: 100% (All columns tagged with relevant GDPR/Tax attributes).
     Impact Analysis Accuracy: >99% (Precision in identifying affected objects during schema changes).
     Data Stewardship Assignment Rate: 100% (Every critical data element has an assigned owner).



e.	Stakeholder Insights
Stakeholder	Concern	Implications
Data Governance Officers (DGOs)	Semantic Ambiguity & Compliance Risk	Without a unified dictionary, DGOs cannot guarantee that "Anonymized ID" is treated differently from "Legal Name," leading to potential GDPR violations and heavy fines.
Database Administrators (DBAs)	Uncontrolled Schema Drift	Lack of central control leads to ad-hoc schema changes causing downtime and data integrity issues during deployments.
Regulatory Auditors	Data Provenance & Accountability	Auditors require an immutable record of who defined what data and when. Missing metadata makes the system unauditable.
Business Analysts	Self-Service Reporting Inaccuracy	Analysts relying on guesswork to build KPIs (e.g., VAT collected) will produce incorrect financial reports, misleading executives.
Software Developers	Integration Complexity	Developers need clear API contracts and data type definitions to integrate modules M01-M09 correctly. Ambiguity slows down development velocity.
CISO / Security Team	Data Leakage & Classification	Security policies (RBAC/ABAC) depend on accurate data classification (e.g., Public vs. Confidential). Poor metadata leads to over-exposure of sensitive data.


f.	Knowledge Representation Graph (mermaid.js)
graph TD
    subgraph "PARI System Context"
        M01[M01: Crypto Core]
        M02[M02: Regulatory Engine]
        M13[M13: Ingestion Pipeline]
        M22[M22: Tax Reporting]
    end

    subgraph "M10: Enterprise Data Dictionary Core"
        DD[(Central Metadata Repository)]
        DEF[Business Glossary]
        TECH[Technical Schema Registry]
        ISO[ISO 20022 / Tax Mapping]
        LINEAGE[Data Lineage Graph]
        VERSION[Change History / Versioning]
        OWNER[Data Stewardship]
    end

    subgraph "Outputs & Governance"
        AUDIT[Audit Reports]
        API[Metadata API]
        DOCS[Living Documentation]
    end

    %% Relationships
    M01 -->|Ingests Schema| TECH
    M13 -->|Populates| LINEAGE
    DD -->|Defines| TECH
    DD -->|Standardizes| DEF
    TECH -->|Maps to| ISO
    DEF -->|Managed by| OWNER
    TECH -->|Versioned in| VERSION
    LINEAGE -->|Traced via| TECH

    %% Value Flow
    ISO -->|Enables| M22
    TECH -->|Validates| M02
    DD -->|Exposes| API
    VERSION -->|Generates| AUDIT
    DEF -->|Publishes| DOCS

    style DD fill:#f9f,stroke:#333,stroke-width:4px
    style ISO fill:#bbf,stroke:#333,stroke-width:2px


g.	Comprehensive List of Features

id	Feature	Description	Business Case	AI/ML Algorithms	KPIs	Primary Users
 T-87 	 pari_dd 	 sp_generate_erd 	 FUNCTION 	 Returns Mermaid.js graph definition. 	 F-181 	 RETURNS TEXT 	 Constructs graph string from entities and relationships. 	 N/A
 T-88 	 pari_dd 	 sp_check_retention 	 PROCEDURE 	 Flags data ready for archival. 	 F-122 	 RETURNS TABLE(entity_id UUID) 	 Compares created_at with retention policies. 	 N/A
 T-89 	 pari_dd 	 sp_mask_data 	 PROCEDURE 	 Applies masking logic (for testing/anonymization). 	 F-186 	 IN p_sql TEXT 	 Parses SQL and wraps columns with masking functions. 	 N/A
 T-90 	 pari_dd 	 sp_assign_owner 	 PROCEDURE 	 Sets data owner for an entity. 	 F-106 	 IN p_entity_id UUID, IN p_owner VARCHAR 	 Updates dd_entity_registry and logs. 	 N/A
 T-91 	 pari_dd 	 sp_analyze_quality 	 PROCEDURE 	 Runs profiling on a table. 	 F-150 	 IN p_entity_id UUID 	 Inserts stats into dd_profiling_stats. 	 N/A
 T-92 	 pari_dd 	 sp_map_kpi 	 PROCEDURE 	 Links KPI formula to attributes. 	 F-117 	 IN p_kpi_code VARCHAR, IN p_attrs UUID[] 	 Inserts into dd_kpi_bindings. 	 N/A
 T-93 	 pari_dd 	 sp_deprecate_object 	 PROCEDURE 	 Marks a table/column as deprecated. 	 F-192 	 IN p_object_id UUID, IN p_date DATE 	 Inserts into dd_deprecations. 	 N/A
 T-94 	 pari_dd 	 sp_search_metadata 	 FUNCTION 	 Full text search on dictionary. 	 F-173 	 IN p_query TEXT, RETURNS SETOF JSON 	 Uses tsvector on description/name fields. 	 N/A
 T-95 	 pari_dd 	 sp_export_to_csv 	 PROCEDURE 	 Exports metadata to CSV for backup. 	 F-178 	 IN p_entity_id UUID 	 COPY (SELECT ... ) TO STDOUT 	 N/A
 T-96 	 pari_dd 	 sp_import_from_csv 	 PROCEDURE 	 Bulk imports metadata definitions. 	 F-178 	 IN p_file_path TEXT 	 Parses CSV and performs upserts. 	 N/A
 T-97 	 pari_dd 	 sp_create_subscription 	 PROCEDURE 	 Subscribes user to table changes. 	 F-175 	 IN p_user_email VARCHAR, IN p_entity_id UUID 	 Inserts into dd_subscriptions. 	 N/A
 T-98 	 pari_dd 	 sp_notify_subscribers 	 PROCEDURE 	 Sends emails/webhooks on change. 	 F-175 	 Triggered by dd_change_history insert. 	 Iterates dd_subscriptions and calls notifier. 	 N/A
 T-99 	 pari_dd 	 sp_request_approval 	 PROCEDURE 	 Creates workflow request. 	 F-176 	 IN p_object_id UUID, IN p_change_details JSONB 	 Inserts into dd_approvals. 	 N/A
 T-100 	 pari_dd 	 sp_approve_change 	 PROCEDURE 	 Approves a workflow request. 	 F-176 	 IN p_approval_id UUID 	 Updates dd_approvals status. 	 N/A
 T-101 	 pari_dd 	 sp_health_check 	 FUNCTION 	 Returns dictionary health metrics. 	 F-179 	 RETURNS JSON 	 Calculates completeness % from registry. 	 N/A
 T-102 	 pari_dd 	 sp_anchor_metadata 	 PROCEDURE 	 Writes metadata state hash to blockchain. 	 F-208 	 Generates SHA-256 of current registry state and calls anchor service. 	 N/A 	 N/A
 T-103 	 pari_dd 	 sp_analyze_dependencies 	 PROCEDURE 	 Auto-discovers Foreign Keys. 	 F-205 	 IN p_entity_id UUID 	 Analyzes data distribution to suggest relationships. 	 N/A
 T-104 	 pari_dd 	 sp_estimate_backfill_cost 	 FUNCTION 	 Estimates time to backfill a column. 	 F-166 	 IN p_attribute_id UUID, RETURNS INTERVAL 	 Based on row count and column width. 	 N/A
 T-105 	 pari_dd 	 sp_cleanup_history 	 PROCEDURE 	 Archives old change logs. 	 F-195 	 Moves rows > 1 year to dd_change_history_archive. 	 N/A 	 N/A
 T-106 	 pari_dd 	 sp_validate_fk 	 FUNCTION 	 Checks referential integrity of metadata. 	 F-130 	 RETURNS TABLE(violation TEXT) 	 Checks if all entity_id FKS exist in dd_entity_registry. 	 N/A
 T-107 	 pari_dd 	 sp_sync_data_lake 	 PROCEDURE 	 Triggers Glue/Spark job for schema update. 	 F-167 	 IN p_entity_id UUID 	 Calls M13/Kafka topic with schema update event. 	 N/A
 T-108 	 pari_dd 	 sp_tag_sensitive_data 	 PROCEDURE 	 Bulk tagging based on regex patterns. 	 F-105 	 IN p_pattern TEXT, IN p_tag_id UUID 	 Scans column names and applies tag. 	 N/A
 T-109 	 pari_dd 	 sp_calculate_storage_cost 	 PROCEDURE 	 Updates storage cost metrics. 	 F-184 	 Runs nightly, calculates pg_relation_size * cost_per_gb. 	 N/A 	 N/A
 T-110 	 pari_dd 	 sp_check_drift 	 PROCEDURE 	 Compares Git SHA vs DB Schema. 	 F-168 	 Returns diff JSON. 	 N/A 	 N/A
 T-111 	 pari_dd 	 sp_map_legacy_field 	 PROCEDURE 	 Maps legacy system field to PARI field. 	 F-171 	 IN p_legacy_system VARCHAR, IN p_legacy_field VARCHAR, IN p_pari_attr UUID 	 Insert into mapping table. 	 N/A
 T-112 	 pari_dd 	 sp_generate_test_data 	 PROCEDURE 	 Creates insert statements with valid test data. 	 F-172 	 IN p_entity_id UUID, IN p_rows INTEGER 	 Uses dd_custom_types and constraints to build data. 	 N/A
 T-113 	 pari_dd 	 sp_update_stats 	 PROCEDURE 	 Wrapper for ANALYZE command. 	 F-118 	 IN p_entity_id UUID 	 Runs ANALYZE schema.table. 	 N/A
 T-114 	 pari_dd 	 sp_rebuild_index 	 PROCEDURE 	 Rebuilds index using CONCURRENTLY. 	 F-118 	 IN p_index_name VARCHAR 	 Executes REINDEX INDEX CONCURRENTLY. 	 N/A
 T-115 	 pari_dd 	 sp_lock_table 	 PROCEDURE 	 Acquires advisory lock. 	 F-163 	 IN p_entity_id UUID 	 SELECT pg_advisory_lock(hashtext(...)). 	 N/A
 T-116 	 pari_dd 	 sp_unlock_table 	 PROCEDURE 	 Releases advisory lock. 	 F-163 	 IN p_entity_id UUID 	 SELECT pg_advisory_unlock(...). 	 N/A
 T-117 	 pari_dd 	 sp_vacuum_table 	 PROCEDURE 	 Runs VACUUM. 	 F-118 	 IN p_entity_id UUID 	 VACUUM ANALYZE schema.table. 	 N/A
 T-118 	 pari_dd 	 sp_set_partition_key 	 PROCEDURE 	 Updates partition metadata. 	 F-119 	 IN p_entity_id UUID, IN p_key VARCHAR 	 Updates dd_partitions. 	 N/A
 T-119 	 pari_dd 	 sp_create_partition 	 PROCEDURE 	 Creates a child table partition. 	 F-119 	 IN p_parent VARCHAR, IN p_value VARCHAR 	 Dynamic SQL execution. 	 N/A
 T-120 	 pari_dd 	 sp_drop_partition 	 PROCEDURE 	 Drops old partition. 	 F-122 	 IN p_table_name VARCHAR 	 Used for archival/cleanup. 	 N/A
 T-121 	 pari_dd 	 sp_clone_metadata 	 PROCEDURE 	 Clones metadata for a new environment. 	 F-195 	 Copies rows from registry to staging registry. 	 N/A 	 N/A
 T-122 	 pari_dd 	 sp_migrate_entity 	 PROCEDURE 	 Handles logical rename in registry. 	 F-110 	 Updates physical_name and keeps history. 	 N/A 	 N/A
 T-123 	 pari_dd 	 sp_check_access_rights 	 FUNCTION 	 Checks if user has rights to view metadata. 	 F-177 	 IN p_user VARCHAR, IN p_entity_id UUID 	 Checks dd_data_owners and role mapping. 	 N/A
 T-124 	 pari_dd 	 sp_log_error 	 PROCEDURE 	 Logs dictionary processing errors. 	 F-168 	 Inserts into dd_errors table. 	 N/A 	 N/A
 T-125 	 pari_dd 	 sp_get_lineage_dot 	 FUNCTION 	 Returns GraphViz DOT format. 	 F-107 	 RETURNS TEXT 	 Constructs graph string. 	 N/A
 T-126 	 pari_dd 	 sp_analyze_usage_patterns 	 PROCEDURE 	 Clusters tables by usage similarity. 	 F-183 	 Uses K-Means on dd_access_stats. 	 N/A 	 N/A
 T-127 	 pari_dd 	 sp_suggest_index 	 PROCEDURE 	 Suggests indexes based on queries. 	 F-118 	 Analyzes pg_stat_statements. 	 N/A 	 N/A
 T-128 	 pari_dd 	 sp_validate_json_schema 	 FUNCTION 	 Validates JSONB against stored schema. 	 F-126 	 IN p_data JSONB, IN p_attr_id UUID 	 Uses jsonb_schema_validation extension. 	 N/A
 T-129 	 pari_dd 	 sp_encrypt_column 	 PROCEDURE 	 Encrypts existing data (migration). 	 F-124 	 IN p_attr_id UUID 	 Batch update using pgcrypto. 	 N/A
 T-130 	 pari_dd 	 sp_update_taxonomy 	 PROCEDURE 	 Updates classification taxonomy. 	 F-141 	 Inserts/Updates dd_taxonomy_nodes. 	 N/A 	 N/A
 T-131 	 pari_dd 	 sp_check_sla_compliance 	 FUNCTION 	 Checks if latency SLA is breached. 	 F-143 	 IN p_entity_id UUID, RETURNS BOOLEAN 	 Compares dd_access_stats.avg_latency with dd_slas. 	 N/A
 T-132 	 pari_dd 	 sp_trigger_alert 	 PROCEDURE 	 Sends alert to Opsgenie/PagerDuty. 	 F-168 	 IN p_message TEXT 	 HTTP POST to webhook. 	 N/A
 T-133 	 pari_dd 	 sp_purge_soft_deletes 	 PROCEDURE 	 Hard deletes rows marked soft deleted. 	 F-122 	 IN p_entity_id UUID 	 DELETE FROM ... WHERE deleted_at IS NOT NULL. 	 N/A
 T-134 	 pari_dd 	 sp_generate_api_doc 	 PROCEDURE 	 Generates OpenAPI spec from DB metadata. 	 F-129 	 Returns YAML/JSON. 	 N/A 	 N/A
 T-135 	 pari_dd 	 sp_map_enum 	 PROCEDURE 	 Maps DB enum to API enum. 	 F-129 	 IN p_enum_name VARCHAR 	 Updates dd_api_mappings. 	 N/A
 T-136 	 pari_dd 	 sp_verify_integrity 	 PROCEDURE 	 Checks data checksums vs anchors. 	 F-208 	 RETURNS BOOLEAN 	 Calculates SHA256 of table data. 	 N/A
 T-137 	 pari_dd 	 sp_get_entity_dependencies 	 FUNCTION 	 Recursive fetch of all dependencies. 	 F-111 	 IN p_entity_id UUID 	 Recursive CTE. 	 N/A
 T-138 	 pari_dd 	 sp_get_entity_dependents 	 FUNCTION 	 Recursive fetch of all dependents. 	 F-111 	 IN p_entity_id UUID 	 Recursive CTE. 	 N/A
 T-139 	 pari_dd 	 sp_normalize_phones 	 FUNCTION 	 Formats phone numbers to E.164. 	 F-193 	 IN p_phone VARCHAR 	 Uses libphonenumber logic. 	 N/A
 T-140 	 pari_dd 	 sp_normalize_address 	 FUNCTION 	 Standardizes address formats. 	 F-193 	 IN p_address JSONB 	 Parses and reorders fields. 	 N/A
 T-141 	 pari_dd 	 sp_check_ibm 	 FUNCTION 	 Validates IBAN checksum. 	 F-185 	 IN p_iban VARCHAR 	 Mod-97 algorithm. 	 N/A
 T-142 	 pari_dd 	 sp_check_vat 	 FUNCTION 	 Validates VAT ID format. 	 F-185 	 IN p_vat VARCHAR 	 Regex check per country. 	 N/A
 T-143 	 pari_dd 	 sp_generate_report 	 PROCEDURE 	 Creates PDF report of metadata. 	 F-112 	 IN p_entity_id UUID 	 Uses LaTeX or HTML-PDF generator. 	 N/A
 T-144 	 pari_dd 	 sp_backup_dictionary 	 PROCEDURE 	 Dumps entire pari_dd schema. 	 F-195 	 pg_dump -n pari_dd 	 N/A 	 N/A
 T-145 	 pari_dd 	 sp_restore_dictionary 	 PROCEDURE 	 Restores pari_dd schema. 	 F-195 	 psql -f dump.sql 	 N/A 	 N/A
 T-146 	 pari_dd 	 sp_annotate_schema 	 PROCEDURE 	 Adds COMMENT ON to actual DB objects. 	 F-112 	 Updates pg_description. 	 N/A 	 N/A
 T-147 	 pari_dd 	 sp_get_comments 	 FUNCTION 	 Retrieves comments from pg_description. 	 F-112 	 RETURNS TEXT 	 N/A 	 N/A
 T-148 	 pari_dd 	 sp_create_materialized_view 	 PROCEDURE 	 Helper to create Mat View and register it. 	 F-132 	 IN p_def TEXT 	 Executes SQL and inserts into dd_materialized_views. 	 N/A
 T-149 	 pari_dd 	 sp_refresh_mat_view 	 PROCEDURE 	 Refreshes specific Mat View. 	 F-132 	 IN p_mv_name VARCHAR 	 REFRESH MATERIALIZED VIEW CONCURRENTLY. 	 N/A
 T-150 	 pari_dd 	 sp_create_function 	 PROCEDURE 	 Registers a new PL/pgSQL function. 	 F-121 	 IN p_name VARCHAR, IN p_code TEXT 	 Inserts into dd_stored_procedures. 	 N/A
 T-151 	 pari_dd 	 sp_drop_function 	 PROCEDURE 	 Drops function and removes from registry. 	 F-121 	 IN p_func_id UUID 	 DROP FUNCTION .... 	 N/A
 T-152 	 pari_dd 	 sp_create_trigger 	 PROCEDURE 	 Registers trigger. 	 F-131 	 IN p_name VARCHAR, IN p_table UUID 	 Inserts into dd_triggers. 	 N/A
 T-153 	 pari_dd 	 sp_enable_rls 	 PROCEDURE 	 Enables RLS on a table. 	 F-128 	 IN p_entity_id UUID 	 ALTER TABLE ... ENABLE ROW LEVEL SECURITY. 	 N/A
 T-154 	 pari_dd 	 sp_create_rls_policy 	 PROCEDURE 	 Creates policy and registers it. 	 F-128 	 IN p_policy_name VARCHAR, IN p_expr TEXT 	 CREATE POLICY .... 	 N/A
 T-155 	 pari_dd 	 sp_grant_privilege 	 PROCEDURE 	 Grants privilege on table to role. 	 F-177 	 IN p_entity_id UUID, IN p_role VARCHAR, IN p_priv VARCHAR 	 GRANT ... ON .... 	 N/A
 T-156 	 pari_dd 	 sp_revoke_privilege 	 PROCEDURE 	 Revokes privilege. 	 F-177 	 IN p_entity_id UUID, IN p_role VARCHAR, IN p_priv VARCHAR 	 REVOKE ... ON .... 	 N/A
 T-157 	 pari_dd 	 sp_create_extension 	 PROCEDURE 	 Installs DB extension (e.g., postgis). 	 F-127 	 IN p_ext_name VARCHAR 	 CREATE EXTENSION .... 	 N/A
 T-158 	 pari_dd 	 sp_check_extension_version 	 FUNCTION 	 Checks if extension is up to date. 	 F-127 	 IN p_ext_name VARCHAR 	 Queries pg_extension. 	 N/A
 T-159 	 pari_dd 	 sp_create_schema 	 PROCEDURE 	 Creates new DB schema. 	 F-101 	 IN p_schema_name VARCHAR 	 CREATE SCHEMA. 	 N/A
 T-160 	 pari_dd 	 sp_drop_schema 	 PROCEDURE 	 Drops DB schema (CASCADE). 	 F-110 	 IN p_schema_name VARCHAR 	 DROP SCHEMA ... CASCADE. 	 N/A
 T-161 	 pari_dd 	 sp_alter_column_type 	 PROCEDURE 	 Changes column type (with cast). 	 F-110 	 IN p_attr_id UUID, IN p_new_type VARCHAR 	 ALTER TABLE ... ALTER COLUMN ... TYPE .... 	 N/A
 T-162 	 pari_dd 	 sp_add_column 	 PROCEDURE 	 Adds column to table. 	 F-102 	 IN p_entity_id UUID, IN p_col_name VARCHAR 	 ALTER TABLE ... ADD COLUMN .... 	 N/A
 T-163 	 pari_dd 	 sp_drop_column 	 PROCEDURE 	 Drops column. 	 F-110 	 IN p_attr_id UUID 	 ALTER TABLE ... DROP COLUMN .... 	 N/A
 T-164 	 pari_dd 	 sp_rename_column 	 PROCEDURE 	 Renames column. 	 F-110 	 IN p_attr_id UUID, IN p_new_name VARCHAR 	 ALTER TABLE ... RENAME COLUMN .... 	 N/A
 T-165 	 pari_dd 	 sp_add_check_constraint 	 PROCEDURE 	 Adds check constraint. 	 F-130 	 IN p_entity_id UUID, IN p_expr TEXT 	 ALTER TABLE ... ADD CONSTRAINT ... CHECK .... 	 N/A
 T-166 	 pari_dd 	 sp_drop_constraint 	 PROCEDURE 	 Drops constraint. 	 F-130 	 IN p_constraint_name VARCHAR 	 ALTER TABLE ... DROP CONSTRAINT .... 	 N/A
 T-167 	 pari_dd 	 sp_add_foreign_key 	 PROCEDURE 	 Adds FK. 	 F-130 	 IN p_child UUID, IN p_parent UUID, IN p_cols TEXT[] 	 ALTER TABLE ... ADD CONSTRAINT ... FOREIGN KEY .... 	 N/A
 T-168 	 pari_dd 	 sp_add_unique_constraint 	 PROCEDURE 	 Adds Unique constraint. 	 F-130 	 IN p_entity_id UUID, IN p_cols TEXT[] 	 ALTER TABLE ... ADD CONSTRAINT ... UNIQUE .... 	 N/A
 T-169 	 pari_dd 	 sp_create_sequence 	 PROCEDURE 	 Creates sequence and registers it. 	 F-102 	 IN p_seq_name VARCHAR 	 CREATE SEQUENCE. 	 N/A
 T-170 	 pari_dd 	 sp_alter_sequence_owner 	 PROCEDURE 	 Changes sequence owner. 	 F-102 	 IN p_seq_name VARCHAR, IN p_table VARCHAR 	 ALTER SEQUENCE ... OWNED BY. 	 N/A
 T-171 	 pari_dd 	 sp_analyze_bloat 	 FUNCTION 	 Estimates table/index bloat. 	 F-118 	 RETURNS TABLE(table_name TEXT, bloat_pct NUMERIC) 	 Uses pgstattuple. 	 N/A
 T-172 	 pari_dd 	 sp_reindex_table 	 PROCEDURE 	 Reindexes all indexes on a table. 	 F-118 	 IN p_entity_id UUID 	 Loop over dd_indexes. 	 N/A
 T-173 	 pari_dd 	 sp_cluster_table 	 PROCEDURE 	 Clusters table based on index. 	 F-118 	 IN p_entity_id UUID 	 CLUSTER schema.table USING index. 	 N/A
 T-174 	 pari_dd 	 sp_set_table_space 	 PROCEDURE 	 Moves table to different tablespace. 	 F-122 	 IN p_entity_id UUID, IN p_tablespace VARCHAR 	 ALTER TABLE ... SET TABLESPACE. 	 N/A
 T-175 	 pari_dd 	 sp_estimate_query_cost 	 FUNCTION 	 Estimates cost of a query plan. 	 F-118 	 IN p_query TEXT 	 EXPLAIN. 	 N/A
 T-176 	 pari_dd 	 sp_cancel_long_running_query 	 PROCEDURE 	 Cancels queries running > threshold. 	 F-143 	 IN p_duration_minutes INTEGER 	 SELECT pg_cancel_backend(pid). 	 N/A
 T-177 	 pari_dd 	 sp_kill_backend 	 PROCEDURE 	 Terminates backend. 	 F-163 	 IN p_pid INTEGER 	 SELECT pg_terminate_backend(pid). 	 N/A
 T-178 	 pari_dd 	 sp_get_blocking_locks 	 FUNCTION 	 Returns blocking lock info. 	 F-163 	 RETURNS TABLE(blocker_pid INT, blocked_pid INT) 	 Query pg_locks. 	 N/A
 T-179 	 pari_dd 	 sp_get_active_locks 	 FUNCTION 	 Returns all active locks. 	 F-163 	 RETURNS TABLE(locktype TEXT, relation TEXT) 	 Query pg_locks. 	 N/A
 T-180 	 pari_dd 	 sp_get_table_size 	 FUNCTION 	 Returns size of table (with indexes). 	 F-122 	 IN p_entity_id UUID 	 pg_total_relation_size. 	 N/A
 T-181 	 pari_dd 	 sp_get_index_size 	 FUNCTION 	 Returns size of index. 	 F-118 	 IN p_index_name VARCHAR 	 pg_relation_size. 	 N/A
 T-182 	 pari_dd 	 sp_get_database_size 	 FUNCTION 	 Returns DB size. 	 F-184 	 RETURNS BIGINT 	 pg_database_size. 	 N/A
 T-183 	 pari_dd 	 sp_get_role_list 	 FUNCTION 	 Returns list of DB roles. 	 F-177 	 RETURNS TABLE(rolname TEXT) 	 SELECT rolname FROM pg_roles. 	 N/A
 T-184 	 pari_dd 	 sp_get_role_privileges 	 FUNCTION 	 Returns privileges for role. 	 F-177 	 IN p_role_name VARCHAR 	 Query information_schema.role_table_grants. 	 N/A
 T-185 	 pari_dd 	 sp_grant_role 	 PROCEDURE 	 Grants role to user. 	 F-177 	 IN p_user VARCHAR, IN p_role VARCHAR 	 GRANT role TO user. 	 N/A
 T-186 	 pari_dd 	 sp_revoke_role 	 PROCEDURE 	 Revokes role from user. 	 F-177 	 IN p_user VARCHAR, IN p_role VARCHAR 	 REVOKE role FROM user. 	 N/A
 T-187 	 pari_dd 	 sp_create_role 	 PROCEDURE 	 Creates new role. 	 F-177 	 IN p_role_name VARCHAR 	 CREATE ROLE. 	 N/A
 T-188 	 pari_dd 	 sp_drop_role 	 PROCEDURE 	 Drops role. 	 F-177 	 IN p_role_name VARCHAR 	 DROP ROLE. 	 N/A
 T-189 	 pari_dd 	 sp_set_role_setting 	 PROCEDURE 	 Sets config for role. 	 F-177 	 IN p_role VARCHAR, IN p_setting VARCHAR, IN p_value VARCHAR 	 ALTER ROLE ... SET .... 	 N/A
 T-190 	 pari_dd 	 sp_get_server_version 	 FUNCTION 	 Returns Postgres version. 	 F-127 	 RETURNS TEXT 	 version(). 	 N/A
 T-191 	 pari_dd 	 sp_get_settings 	 FUNCTION 	 Returns all GUC settings. 	 F-127 	 RETURNS TABLE(name TEXT, setting TEXT) 	 SHOW ALL. 	 N/A
 T-192 	 pari_dd 	 sp_reload_config 	 PROCEDURE 	 Reloads Postgres config. 	 F-168 	 SELECT pg_reload_conf(). 	 N/A 	 N/A
 T-193 	 pari_dd 	 sp_switch_wal 	 PROCEDURE 	 Switches WAL file. 	 F-195 	 SELECT pg_switch_wal(). 	 N/A 	 N/A
 T-194 	 pari_dd 	 sp_checkpoint 	 PROCEDURE 	 Forces checkpoint. 	 F-195 	 CHECKPOINT. 	 N/A 	 N/A
 T-195 	 pari_dd 	 sp_get_replication_lag 	 FUNCTION 	 Returns replication lag in seconds. 	 F-167 	 RETURNS INTERVAL 	 Queries pg_stat_replication. 	 N/A
 T-196 	 pari_dd 	 sp_promote_standby 	 PROCEDURE 	 Promotes standby to primary. 	 F-167 	 SELECT pg_promote(). 	 N/A 	 N/A
 T-197 	 pari_dd 	 sp_get_stat_activity 	 FUNCTION 	 Returns current activity. 	 F-118 	 RETURNS SETOF JSON 	 Query pg_stat_activity. 	 N/A
 T-198 	 pari_dd 	 sp_reset_statistics 	 PROCEDURE 	 Resets stats counters. 	 F-118 	 SELECT pg_stat_reset(). 	 N/A 	 N/A
 T-199 	 pari_dd 	 sp_get_wal_level 	 FUNCTION 	 Returns current WAL level. 	 F-167 	 RETURNS TEXT 	 SHOW wal_level. 	 N/A
 T-200 	 pari_dd 	 sp_validate_data_model 	 FUNCTION 	 Checks model against CMMI standards. 	 F-102 	 RETURNS TABLE(validation_error TEXT) 	 Checks naming conventions, PK existence. 	 N/A
